image_1,image_2,image_3,image_4,image_5,image_6,image_7,image_8,image_9,image_10,LightNoise,LightNoise_light_param,GradientLightNoise,GradientLightNoise_light_param,CircularLightNoise,CircularLightNoise_light_param,CircularLightNoise_r_circle,CircularLightNoise_kernel_sigma,SPNoise,SPNoise_amount_sp,SPNoise_bw,SPNoise_pepper_color,SPNoise_salt_color,NegativeNoise,BlurNoise,BlurNoise_blur_sigma,BlurNoise_blur_kernel_size,pitch,yaw,roll,scale,label,istance_name
0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0.519768251,1,94_RE_65922$bd6435ae-d938-425c-8889-a3617720622e
0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,39,0.77061601,0,31_SIN_80636$ee181b64-b07f-4a27-80dc-8ddcab99c6fa
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.888710233,1,32_RE_24687$60374eb7-cf6b-4539-a75c-9301abb52222
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-70,31,0.431303097,0,0,0,0,0,0,0,0,0,0,0,62,0.733579639,0,12_SIN_86801$8300a6b8-3677-4f49-b72c-498305318b04
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.849869655,1,05_NON_18074$0ea70cfc-97bf-4d14-a37c-7f30b5174adf
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.273178001,1,15,253,0,0,0,0,0,17,26,0.568207049,0,96_LAM_34808$ba36f971-a5d8-4456-a643-bfc16008e566
0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,-129,27,0.714302964,0,0,0,0,0,0,0,0,0,0,0,27,0.979146801,1,75_TA_66761$74f983b4-027f-4adb-a9aa-b15eaaef9431
1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,56,0,0.818279691,1,83_GHAF_49475$0307391a-384e-4a7a-9ac3-6ecb9fc9e9ac
1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,78,0,0.639603406,1,75_GHAF_03661$d7600242-c750-4b2e-b0cd-0137fb5da1a3
0,0,0,0,0,0,0,0,0,0,1,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.992244912,1,05_SIN_28340$6fcb6aee-d842-43e0-91a6-29f363333164
1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.971076504,1,28_MIM_14518$8adcc575-abbc-4a9d-8fef-3e304712f8b1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,55,46,0.980087544,0,08_TA_66007$78d55b77-7e8a-4f91-b4da-3624830433e0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.219661277,1,16,141,0,0,0,0,0,72,0,0.898149322,1,93_WHEEL_81221$9c44cc1b-6a30-4ea6-b23b-859baa2ac366
0,0,0,0,0,0,1,0,0,0,0,0,1,-52,1,-44,21,0.093060213,0,0,0,0,0,0,0,0,0,0,82,30,0.73549612,1,49_HE_27143$95502d70-7d63-477d-84e5-5797ab4bc20d
1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.593980588,1,22_BE_86979$d1027822-d938-473d-82bf-02df338ebe9c
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,14,0,0.860309926,1,48_YE_88346$65962e4b-93f6-4733-90d5-e8a640f91ef8
0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,33,0.831874349,0,04_SIN_21247$ba78abf2-932a-439c-be91-82ca94cf72f7
1,0,0,0,0,0,0,0,0,0,1,13,0,0,1,-49,30,0.783853743,0,0,0,0,0,0,0,0,0,30,0,0,0.999003531,1,70_SAD_39540$844792e2-2494-4c56-8e56-ac6aeed5f30d
0,0,0,0,1,1,0,0,0,0,0,0,1,168,0,0,0,0,0,0,0,0,0,0,1,6,3,27,0,0,0.701027974,1,94_LAM_45850$7b3b8e81-2032-4173-836b-07c552f6d21a
0,0,0,0,0,0,0,1,0,0,0,0,1,150,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,46,0.989905222,0,62_BE_62016$1c0b3352-43cb-4aea-b94e-64b3fe0f8ed1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,12,0,0.643274411,1,99_SIN_18885$6ad6c61b-afaa-4093-9f1e-3e5fdead12cc
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.354029167,0,122,249,0,0,0,0,0,0,0,0.795852298,1,12_VAV_38789$6dfb1252-7513-48b5-8478-9d3bb4964575
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0.641774053,1,26_HE_77562$e0690ed9-ae11-4cb8-80cc-ac25f7a8aa7e
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,61,0.758912569,0,52_SIN_54627$9bcc7503-fe89-4c9f-b07e-34d0ba93459a
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,2,0.667524932,1,08_SAD_31991$f8714c1d-d3d6-4122-81ac-a0a9e3b02880
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.844012866,1,00_NON_27984$bae9f730-a79e-4c99-b5d8-e77d90480bdb
0,0,0,0,0,0,0,0,0,0,1,107,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,55,0.529670646,0,20_RE_15805$e78238d9-869f-4c03-bb97-093f85e29939
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0.955767531,1,23_LAM_71897$b14c750f-6f03-4cf7-82de-da1224e29393
0,0,0,0,0,0,0,0,0,0,1,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0.520488128,1,46_BE_12468$a33ccb0d-b7af-4b98-96c3-e5b4bae08142
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0.395210402,0,41,183,0,0,0,0,37,0,0,0.682538368,1,60_HE_46064$c031b2ef-d735-406f-a747-34a9815701f3
0,0,0,1,0,0,0,1,0,0,0,0,1,-114,0,0,0,0,0,0,0,0,0,0,1,7,13,72,23,26,0.646022411,0,81_LAM_55914$94888e2f-2720-458c-a7cc-825f20f935ac
0,0,0,0,0,0,0,0,0,0,1,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0.850465389,0,82_BE_72061$2c04c19b-d151-4ce4-8f9a-8f056619bbc7
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.181961094,0,57,232,0,0,0,0,23,0,0,0.58924002,1,87_TE_53294$95dc0921-83d0-4bab-a89b-fd944c36b780
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.25993203,0,51,149,0,0,0,0,8,68,0,0.853802058,1,79_GHAF_99286$71dee095-bc5b-4025-9633-4fca166489a5
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0.803648573,1,01_EIN_49497$ae3bd89f-cb51-4481-9293-6b7927bc839d
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,72,0,0.677529789,1,12_HE_66487$63891772-f474-4c74-a6bf-ddaf9cbfa72e
0,0,0,0,0,0,0,0,1,0,1,-63,0,0,1,-79,29,0.108124059,0,0,0,0,0,0,1,4,9,13,0,55,0.925014792,0,62_MIM_65812$1fa541f2-707a-49d2-be56-91c2098131ff
0,0,0,0,0,0,0,0,0,0,0,0,1,-32,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0.678726815,1,65_TA_93574$dc2c7256-1167-4620-84d8-79e3c3afc8fb
0,0,1,0,0,0,0,1,0,0,1,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0.979828383,0,06_NON_51114$8c1caa3d-8d1a-4faa-af51-145f6a0be390
0,0,0,0,0,0,0,0,0,0,1,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,34,0,0.713739117,1,04_MIM_70230$9e6a4f12-b7ee-49d8-bc7c-45112e60baa8
0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0.317756349,1,54,130,0,0,0,0,0,16,0,0.944581177,0,35_SIN_68464$92534983-2581-4c29-a230-4e6c3e7da6ae
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0.572053786,1,02_JIM_62001$ed146e10-6dec-463c-8f38-90f1fc31867f
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0.602975998,0,39_SAD_13760$eb369ce4-f115-487a-ba4f-2f130e9c6470
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.831065442,1,36_VAV_13226$393b1ba3-62c0-43a8-a96b-8bc6875f3a0d
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.90389448,1,63_MIM_50052$5e5dcf32-e52d-4a10-b6a8-9fdcbd9ed4eb
0,0,0,0,0,0,0,0,0,0,0,0,1,-155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,14,0.910939304,1,05_BE_65821$9286ae02-3e40-43f3-83c6-8bc577c7a4f1
0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,29,42,0.965248361,0,52_SAD_65247$edd08d60-05fe-405c-a8d9-5e25bbf6cd7f
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,9,0,0,0,0.894851377,1,99_GHAF_91462$5b1db95d-6826-40b3-8eb7-24e7d181204e
0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.767689504,1,25_JIM_86284$4a0a571a-7066-4628-99b3-ef04cba14537
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.375755897,0,70,168,0,0,0,0,0,0,0,0.526053229,1,99_JIM_20037$4fe116d8-00aa-42f2-9327-4e0ddaa3d264
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0.795661785,1,68_EIN_92458$9f21f78a-de2e-4ad2-9ed6-32b30415d9ae
0,0,0,0,0,0,0,0,0,0,1,-116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,41,0.656017833,0,47_WHEEL_02453$3de18608-ea9a-4a91-b26a-551cc25a31b0
0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.266968477,0,57,179,0,0,0,0,66,0,26,0.956808913,1,96_SIN_18529$decb5cea-b680-43d0-8abf-a63343297707
0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.803075119,1,71_SIN_19671$041565ee-0645-4aa2-aa49-cdb5b4b0d1fc
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.324060776,1,58,160,0,0,0,0,0,0,0,0.982708859,1,05_EIN_47019$abea4a71-29b6-4b8a-b178-8ef8093525db
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,7,0,27,66,0.889683763,0,63_SIN_93500$aae996cb-d990-4a4a-a8f9-b611e57c2854
