method,test_size,accuracy(m),accuracy(v),precision0(m),precision0(v),precision1(m),precision1(v),recall0(m),recall0(v),recall1(m),recall1(v),
knn,0.3,0.8999999999999998,2.220446049250313e-16,0.8636363636363636,0.0,0.9150943396226415,0.0,0.8085106382978722,1.232595164407831e-32,0.9417475728155338,4.930380657631324e-32,
mlp,0.3,0.9396666666666667,0.007141428428542841,0.913899249642127,0.0009108322369724272,0.9522550449283316,0.00017470228498839556,0.8936170212765957,0.0010411951109099132,0.9606796116504854,0.0002636912055801675,
nb,0.3,0.9366666666666668,1.1102230246251565e-16,0.8787878787878787,1.232595164407831e-32,0.9651741293532338,1.232595164407831e-32,0.925531914893617,0.0,0.9417475728155338,4.930380657631324e-32,
neater,0.3,0.9218333333333334,0.0077799600113225426,0.8616730074191384,0.0003759798813241537,0.9510986963611174,2.3824280359886722e-05,0.8946808510638299,0.00012335898596650073,0.9342233009708739,0.00011187435196531238,
svm,0.3,0.9433333333333337,3.3306690738754696e-16,0.9638554216867472,4.930380657631324e-32,0.9354838709677417,4.930380657631324e-32,0.851063829787234,0.0,0.9854368932038833,4.930380657631324e-32,
rf,0.3,0.9499999999999998,1.1102230246251565e-16,0.9647058823529411,1.232595164407831e-32,0.944186046511628,1.232595164407831e-32,0.8723404255319149,0.0,0.9854368932038833,4.930380657631324e-32,
voting,0.3,0.9445,0.004506168611531925,0.9143942603626399,0.0003294660283062853,0.9584230324222988,2.3912710479822433e-05,0.9085106382978724,0.00014033499320959667,0.9609223300970875,9.066594400980293e-05,
neater,0.3,0.9166666666666666,0.0,0.8631578947368421,0.0,0.9414634146341463,0.0,0.8723404255319149,0.0,0.9368932038834952,0.0,
neater,0.3,0.92,0.0,0.8571428571428571,0.0,0.9504950495049505,0.0,0.8936170212765957,0.0,0.9320388349514563,0.0,
mlp,0.3,0.9433333333333334,0.0,0.9753086419753086,0.0,0.9315068493150684,0.0,0.8404255319148937,0.0,0.9902912621359223,0.0,
neater,0.3,0.9233333333333333,0.0,0.8817204301075269,0.0,0.9420289855072463,0.0,0.8723404255319149,0.0,0.9466019417475728,0.0,
neater,0.3,0.895,0.0,0.958041958041958,0.0,0.87527352297593,0.0,0.7061855670103093,0.0,0.9852216748768473,0.0,
mlp,0.3,0.9333333333333333,0.0,0.9425287356321839,0.0,0.9295774647887324,0.0,0.845360824742268,0.0,0.9753694581280788,0.0,
knn,0.3,0.8283333333333334,0.0,0.8273381294964028,0.0,0.8286334056399133,0.0,0.5927835051546392,0.0,0.9408866995073891,0.0,
mlp,0.3,0.9383333333333334,0.0,0.9243243243243243,0.0,0.944578313253012,0.0,0.8814432989690721,0.0,0.9655172413793104,0.0,
nb,0.3,0.8816666666666667,0.0,0.7685589519650655,0.0,0.9514824797843666,0.0,0.9072164948453608,0.0,0.8694581280788177,0.0,
neater,0.3,0.9033333333333333,0.0,0.9533333333333334,0.0,0.8866666666666667,0.0,0.7371134020618557,0.0,0.9827586206896551,0.0,
voting,0.3,0.9333333333333333,0.0,0.9095744680851063,0.0,0.9441747572815534,0.0,0.8814432989690721,0.0,0.958128078817734,0.0,
svm,0.3,0.6766666666666666,0.0,0.0,0.0,0.6766666666666666,0.0,0.0,0.0,1.0,0.0,
rf,0.3,0.9283333333333333,0.0,0.9575757575757575,0.0,0.9172413793103448,0.0,0.8144329896907216,0.0,0.9827586206896551,0.0,
knn,0.3,0.8283333333333334,0.0,0.8273381294964028,0.0,0.8286334056399133,0.0,0.5927835051546392,0.0,0.9408866995073891,0.0,
mlp,0.3,0.9433333333333334,0.0,0.9395604395604396,0.0,0.9449760765550239,0.0,0.8814432989690721,0.0,0.9729064039408867,0.0,
nb,0.3,0.8816666666666667,0.0,0.7685589519650655,0.0,0.9514824797843666,0.0,0.9072164948453608,0.0,0.8694581280788177,0.0,
neater,0.3,0.885,0.0,0.9432624113475178,0.0,0.8671023965141612,0.0,0.6855670103092784,0.0,0.9802955665024631,0.0,
voting,0.3,0.9416666666666667,0.0,0.9297297297297298,0.0,0.946987951807229,0.0,0.8865979381443299,0.0,0.9679802955665024,0.0,
svm,0.3,0.6766666666666666,0.0,0.0,0.0,0.6766666666666666,0.0,0.0,0.0,1.0,0.0,
rf,0.3,0.9283333333333333,0.0,0.9575757575757575,0.0,0.9172413793103448,0.0,0.8144329896907216,0.0,0.9827586206896551,0.0,
knn,0.3,0.8283333333333334,0.0,0.8273381294964028,0.0,0.8286334056399133,0.0,0.5927835051546392,0.0,0.9408866995073891,0.0,
mlp,0.3,0.9433333333333334,0.0,0.9444444444444444,0.0,0.9428571428571428,0.0,0.8762886597938144,0.0,0.9753694581280788,0.0,
nb,0.3,0.8816666666666667,0.0,0.7685589519650655,0.0,0.9514824797843666,0.0,0.9072164948453608,0.0,0.8694581280788177,0.0,
neater,0.3,0.905,0.0,0.9659863945578231,0.0,0.8852097130242825,0.0,0.7319587628865979,0.0,0.9876847290640394,0.0,
neater,0.3,0.9083333333333333,0.0,0.9602649006622517,0.0,0.89086859688196,0.0,0.7474226804123711,0.0,0.9852216748768473,0.0,
neater,0.3,0.92,0.0,0.974025974025974,0.0,0.9013452914798207,0.0,0.7731958762886598,0.0,0.9901477832512315,0.0,
neater,0.3,0.9033333333333333,0.0,0.9533333333333334,0.0,0.8866666666666667,0.0,0.7371134020618557,0.0,0.9827586206896551,0.0,
neater,0.3,0.915,0.0,0.9673202614379085,0.0,0.8970917225950783,0.0,0.7628865979381443,0.0,0.9876847290640394,0.0,
neater,0.3,0.8916666666666667,0.0,0.9849624060150376,0.0,0.8650963597430407,0.0,0.6752577319587629,0.0,0.9950738916256158,0.0,
neater,0.3,0.8883333333333333,0.0,0.9635036496350365,0.0,0.8660907127429806,0.0,0.6804123711340206,0.0,0.9876847290640394,0.0,
neater,0.3,0.8983333333333333,0.0,0.9716312056737588,0.0,0.8758169934640523,0.0,0.7061855670103093,0.0,0.9901477832512315,0.0,
neater,0.3,0.895,0.0,0.9645390070921985,0.0,0.8736383442265795,0.0,0.7010309278350515,0.0,0.9876847290640394,0.0,
neater,0.3,0.8666666666666667,0.0,0.9318181818181818,0.0,0.8482905982905983,0.0,0.634020618556701,0.0,0.9778325123152709,0.0,
neater,0.3,0.87,0.0,0.8972602739726028,0.0,0.8612334801762115,0.0,0.6752577319587629,0.0,0.9630541871921182,0.0,
neater,0.3,0.88,0.0,0.9552238805970149,0.0,0.8583690987124464,0.0,0.6597938144329897,0.0,0.9852216748768473,0.0,
neater,0.3,0.9116666666666666,0.0,0.9795918367346939,0.0,0.8896247240618101,0.0,0.7422680412371134,0.0,0.9926108374384236,0.0,
neater,0.3,0.9016666666666666,0.0,0.9655172413793104,0.0,0.8813186813186813,0.0,0.7216494845360825,0.0,0.9876847290640394,0.0,
neater,0.3,0.885,0.0,0.9699248120300752,0.0,0.860813704496788,0.0,0.6649484536082474,0.0,0.9901477832512315,0.0,
neater,0.3,0.8916666666666667,0.0,0.951048951048951,0.0,0.8730853391684902,0.0,0.7010309278350515,0.0,0.9827586206896551,0.0,
neater,0.3,0.8983333333333333,0.0,0.934640522875817,0.0,0.8859060402684564,0.0,0.7371134020618557,0.0,0.9753694581280788,0.0,
neater,0.3,0.9133333333333333,0.0,0.9551282051282052,0.0,0.8986486486486487,0.0,0.7680412371134021,0.0,0.9827586206896551,0.0,
neater,0.3,0.9166666666666666,0.0,0.9675324675324676,0.0,0.899103139013453,0.0,0.7680412371134021,0.0,0.9876847290640394,0.0,
neater,0.3,0.915,0.0,0.9612903225806452,0.0,0.898876404494382,0.0,0.7680412371134021,0.0,0.9852216748768473,0.0,
