image_1,image_2,image_3,image_4,image_5,image_6,image_7,image_8,image_9,image_10,LightNoise,LightNoise_light_param,GradientLightNoise,GradientLightNoise_light_param,CircularLightNoise,CircularLightNoise_light_param,CircularLightNoise_r_circle,CircularLightNoise_kernel_sigma,SPNoise,SPNoise_amount_sp,SPNoise_bw,SPNoise_pepper_color,SPNoise_salt_color,NegativeNoise,BlurNoise,BlurNoise_blur_sigma,BlurNoise_blur_kernel_size,pitch,yaw,roll,scale,label_noise,label_rotation,label,instance_name
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,1.0,0.7764,1.0,0.1,0.25,0.3455,0.0,-0.6,0.0,0.0,-1.0,0.0,0.0,-0.6,-0.2307,0.0,0.7334,0.02222,0.02734,Correct,Correct,Correct,69_NON_67135$649f9cce-8b47-4c30-9d22-452aadf77353
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,1.0,0.05295,0.0,0.5,-0.9375,0.0,0.0,-0.6,0.0,0.0,-1.0,0.0,0.0,-0.6,-0.2307,0.0,0.0,0.0,0.842,Corrupt,Correct,Corrupt,09_LAM_44498$bed103cf-2feb-4fae-a26d-0787bc7526ab
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.5,-0.9375,0.0,0.0,-0.6,0.0,0.0,-1.0,1.0,0.0,-0.6,-0.2307,0.0,0.0,0.533,0.5645,Correct,Corrupt,Corrupt,00_BE_27335$f3bde15a-6f14-4961-924b-351145c32a7c
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.5,-0.9375,0.0,0.0,-0.6,0.0,0.0,-1.0,0.0,0.0,-0.6,-0.2307,0.0,0.6665,0.04443,0.2969,Correct,Correct,Correct,79_JIM_21380$43ab8ecb-cdc0-4f82-8b8a-3ff94274f5c3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.5,-0.9375,0.0,0.0,-0.6,0.0,0.0,-1.0,0.0,0.0,-0.6,-0.2307,0.789,0.7,0.06665,0.1387,Correct,Correct,Correct,80_GHAF_97968$6911002e-3044-4def-b781-6e4c93b5f120
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.447,0.0,0.5,0.0,0.5,-0.9375,0.0,0.0,-0.6,0.0,0.0,-1.0,0.0,0.0,-0.6,-0.2307,0.1666,0.0,0.0,0.6855,Correct,Correct,Correct,52_SIN_50909$727282e6-8bff-4f8d-80ec-dd23fff8d576
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.5,-0.9375,0.0,1.0,0.8716,1.0,0.6406,0.3281,1.0,0.0,-0.6,-0.2307,0.0,0.0,0.0,0.5615,Corrupt,Correct,Corrupt,10_JIM_29930$a5e4b7bf-c10f-40f4-ab3e-0ce9a3eddcbe
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.5,0.0,0.5,-0.9375,0.0,0.0,-0.6,0.0,0.0,-1.0,0.0,0.0,-0.6,-0.2307,0.0,0.4556,0.4333,0.3027,Correct,Corrupt,Corrupt,85_NON_73313$f85999b2-ce51-4d6f-92fa-3912a2927407
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.535,0.0,0.5,0.0,0.5,-0.9375,0.0,0.0,-0.6,0.0,0.0,-1.0,1.0,0.0,-0.6,-0.2307,0.7554,0.0,0.0,0.2344,Correct,Correct,Correct,20_SIN_46097$ecac9943-5240-4a3a-ac0f-54bf6fbf7be8
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.5,0.0,0.5,-0.9375,0.0,0.0,-0.6,0.0,0.0,-1.0,0.0,0.0,-0.6,-0.2307,0.0,0.0,0.6665,0.4795,Correct,Corrupt,Corrupt,62_BE_28696$cdcef72d-6103-4d23-bc2b-a847a0112036
