image_1,image_2,image_3,image_4,image_5,image_6,image_7,image_8,image_9,image_10,LightNoise,LightNoise_light_param,GradientLightNoise,GradientLightNoise_light_param,CircularLightNoise,CircularLightNoise_light_param,CircularLightNoise_r_circle,CircularLightNoise_kernel_sigma,SPNoise,SPNoise_amount_sp,SPNoise_bw,SPNoise_pepper_color,SPNoise_salt_color,NegativeNoise,BlurNoise,BlurNoise_blur_sigma,BlurNoise_blur_kernel_size,pitch,yaw,roll,scale,label,instance_name
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.8735,1.0,0.3472,0.0,0.5586,0.0,-0.6,0.0,0.0,-1.0,0.0,0.0,-0.6,-0.2307,0.0,0.422,0.0,0.4795,Correct,60_RE_16894$4c9e2fdd-6e93-41cb-98c7-0fd88ff0de4a
0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.5,-0.9375,0.0,0.0,-0.6,0.0,0.0,-1.0,1.0,0.0,-0.6,-0.2307,0.0,0.0,0.0,0.9785,Correct,41_YE_58104$b94b5a3e-8cc0-4fc0-af78-d92d79eeaef9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.5,-0.9375,0.0,0.0,-0.6,0.0,0.0,-1.0,0.0,0.0,-0.6,-0.2307,0.0,0.0,0.0,0.5635,Correct,41_MIM_63500$8a40973a-9c07-4802-9e7d-afb941553d38
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,1.0,0.4265,0.75,0.5386,0.0,-0.6,0.0,0.0,-1.0,1.0,0.0,-0.6,-0.2307,0.2444,0.9,0.0,0.5674,Correct,94_TA_39994$5e127b11-48b0-493f-8437-4f8a1bed6f8e
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.5,-0.9375,0.0,0.0,-0.6,0.0,0.0,-1.0,0.0,0.0,-0.6,-0.2307,0.4333,0.2556,0.0,0.1768,Correct,49_RE_40454$5cefc057-a1c3-4ae3-b2c9-dd8a6dc0d8ea
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.5,0.0,0.5,-0.9375,0.0,1.0,0.0664,1.0,0.703,0.0547,0.0,1.0,0.6,0.769,0.0,0.0,0.0,0.3545,Corrupt,35_NON_04032$bfc00b44-32d4-4792-9f9a-56790621bb3d
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.5,-0.9375,0.0,1.0,0.689,1.0,0.578,0.7812,0.0,0.0,-0.6,-0.2307,0.1,0.0,0.0,0.535,Correct,86_LAM_61555$a1ff1ab1-4eb3-402b-8214-fe6fefd9c9f4
0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.5,0.0,0.5,-0.9375,0.0,0.0,-0.6,0.0,0.0,-1.0,0.0,0.0,-0.6,-0.2307,0.0,0.0,0.3,0.9873,Correct,70_VAV_50937$94751827-86e4-4088-9648-350cb9de20b6
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.1206,1.0,0.75,0.8125,0.921,0.0,-0.6,0.0,0.0,-1.0,1.0,0.0,-0.6,-0.2307,0.0,0.01111,0.6113,0.907,Corrupt,14_YE_82390$df05f32b-dcc0-4bcb-aa44-c12253a10d68
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.3147,0.0,0.5,0.0,0.5,-0.9375,0.0,0.0,-0.6,0.0,0.0,-1.0,0.0,0.0,-0.6,-0.2307,0.5776,0.0,0.778,0.8066,Corrupt,60_SAD_19090$d9a3e8f9-68a1-458e-962d-a0f68e53d8aa
