image_1,image_2,image_3,image_4,image_5,image_6,image_7,image_8,image_9,image_10,LightNoise,LightNoise_light_param,GradientLightNoise,GradientLightNoise_light_param,CircularLightNoise,CircularLightNoise_light_param,CircularLightNoise_r_circle,CircularLightNoise_kernel_sigma,SPNoise,SPNoise_amount_sp,SPNoise_bw,SPNoise_pepper_color,SPNoise_salt_color,NegativeNoise,BlurNoise,BlurNoise_blur_sigma,BlurNoise_blur_kernel_size,pitch,yaw,roll,scale,pred_label
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.50000,0.00000,0.50000,0.00000,0.50000,-0.93750,0.00000,0.00000,-0.60000,0.00000,0.00000,-1.00000,0.00000,0.00000,-0.60000,-0.23070,0.00000,0.26660,0.23321,0.52563,1.00000
0.00000,0.00000,0.00000,1.00000,0.00000,1.00000,0.00000,0.00000,0.17316,0.00000,0.00000,0.50000,0.00000,0.50000,0.00000,0.50000,-0.93750,0.00000,0.00000,-0.60000,0.00000,0.00000,-1.00000,0.00000,0.00000,-0.60000,-0.23070,0.57878,0.00000,0.00000,0.59606,1.00000
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.17691,0.45473,1.00000,0.98000,0.00000,0.50000,-0.93750,0.00000,0.00000,-0.60000,0.00000,0.00000,-1.00000,0.00000,0.00000,-0.60000,-0.23070,0.00000,0.04324,0.00000,0.83309,1.00000
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.78002,0.78002,0.00000,0.50000,0.00000,0.50000,1.00000,0.81208,0.51249,0.00319,0.00000,-0.60000,0.00000,0.00000,-1.00000,0.00000,0.00000,-0.60000,-0.23070,0.11725,0.52529,0.00000,0.63891,1.00000
1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.50000,0.00000,0.50000,0.00000,0.50000,-0.93750,0.00000,0.00000,-0.60000,0.00000,0.00000,-1.00000,0.72516,0.00000,-0.60000,-0.23070,0.00000,0.00000,0.00000,0.50026,1.00000
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.50000,0.00000,0.50000,0.00000,0.50000,-0.93750,0.00000,0.00000,-0.60000,0.00000,0.00000,-1.00000,0.07488,0.00000,-0.60000,-0.23070,0.16826,0.00000,0.00000,0.24176,1.00000
0.00000,0.00000,0.00000,0.97574,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.50000,0.00000,0.50000,0.00000,0.50000,-0.93750,0.00000,0.00000,-0.60000,0.00000,0.00000,-1.00000,0.00000,1.00000,0.60970,0.01492,0.25006,0.54222,0.00108,0.79087,1.00000
0.00000,0.00000,0.00000,0.14529,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.50000,1.00000,0.89514,1.00000,0.28015,0.83066,0.20996,0.00000,-0.60000,0.00000,0.00000,-1.00000,0.00000,0.00000,-0.60000,-0.23070,0.10330,0.74078,0.02849,0.87033,1.00000
0.52565,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.50000,0.00000,0.50000,0.00000,0.50000,-0.93750,0.00000,0.00000,-0.60000,0.00000,0.00000,-1.00000,1.00000,0.00000,-0.60000,-0.23070,0.00000,0.00000,0.00000,0.55197,1.00000
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.50000,0.00000,0.50000,0.00000,0.50000,-0.93750,0.00000,0.00000,-0.60000,0.00000,0.00000,-1.00000,0.00000,0.00000,-0.60000,-0.23070,0.00000,0.63728,0.00000,0.87887,1.00000
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.50000,0.00000,0.50000,0.00000,0.50000,-0.93750,0.00000,0.00000,-0.60000,0.00000,0.00000,-1.00000,0.00000,0.00000,-0.60000,-0.23070,0.00000,0.00000,0.00000,0.88355,1.00000
1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.50000,0.00000,0.50000,0.00000,0.50000,-0.93750,0.00000,0.00000,-0.60000,0.00000,0.00000,-1.00000,0.00000,0.00000,-0.60000,-0.23070,0.38813,0.00000,0.00000,0.52526,1.00000
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.50000,0.00000,0.50000,0.00000,0.50000,-0.93750,0.00000,0.00000,-0.60000,0.00000,0.00000,-1.00000,0.00000,0.00000,-0.60000,-0.23070,0.00000,0.00000,0.00000,0.55728,1.00000
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.11576,0.00000,0.00000,0.00000,0.00000,0.50000,0.00000,0.50000,0.00000,0.50000,-0.93750,0.00000,0.00000,-0.60000,0.00000,0.00000,-1.00000,0.00000,0.00000,-0.60000,-0.23070,0.07858,0.67941,0.02057,0.60000,1.00000
0.00000,0.00000,0.00000,0.00000,0.95156,0.00000,0.00000,0.04844,0.00000,0.00000,0.00000,0.50000,0.00000,0.50000,1.00000,0.64087,0.63105,0.39829,0.00000,-0.60000,0.00000,0.00000,-1.00000,0.00000,0.00000,-0.60000,-0.23070,0.15853,0.25369,0.00054,0.50704,1.00000
0.00000,0.00000,0.00000,0.00000,0.91520,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.50000,0.00000,0.50000,0.00000,0.50000,-0.93750,0.00000,0.00000,-0.60000,0.00000,0.00000,-1.00000,0.00000,0.00000,-0.60000,-0.23070,0.00000,0.00000,0.00000,0.49302,1.00000
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.33830,0.00000,0.00000,0.00000,0.50000,0.00000,0.50000,0.00000,0.50000,-0.93750,0.00000,0.00000,-0.60000,0.00000,0.00000,-1.00000,0.00000,0.00000,-0.60000,-0.23070,0.15437,0.00000,0.00000,0.88472,1.00000
0.00000,0.00000,0.00000,0.67730,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.50000,0.00000,0.50000,0.00000,0.50000,-0.93750,0.00000,0.00000,-0.60000,0.00000,0.00000,-1.00000,0.00000,0.00000,-0.60000,-0.23070,0.00000,0.55964,0.05734,0.40140,1.00000
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.50000,1.00000,0.59788,0.00000,0.50000,-0.93750,0.00000,0.00000,-0.60000,0.00000,0.00000,-1.00000,0.00000,0.00000,-0.60000,-0.23070,0.00000,0.42233,0.00000,0.62377,1.00000
