"Name","Value"
image_min,0
image_max,1
LightNoise_min,0
LightNoise_max,1
LightNoise_light_param_min,-170
LightNoise_light_param_max,170
GradientLightNoise_min,0
GradientLightNoise_max,1
GradientLightNoise_light_param_min,-170
GradientLightNoise_light_param_max,170
CircularLightNoise_min,0
CircularLightNoise_max,1
CircularLightNoise_light_param_min,-170
CircularLightNoise_light_param_max,170
CircularLightNoise_r_circle_min,15
CircularLightNoise_r_circle_max,31
CircularLightNoise_kernel_sigma_min,0
CircularLightNoise_kernel_sigma_max,1
SPNoise_min,0
SPNoise_max,1
SPNoise_amount_sp_min,0.15
SPNoise_amount_sp_max,0.4
SPNoise_bw_min,0
SPNoise_bw_max,1
SPNoise_pepper_color_min,0
SPNoise_pepper_color_max,128
SPNoise_salt_color_min,128
SPNoise_salt_color_max,256
NegativeNoise_min,0
NegativeNoise_max,1
BlurNoise_min,0
BlurNoise_max,1
BlurNoise_blur_sigma_min,3
BlurNoise_blur_sigma_max,8
BlurNoise_blur_kernel_size_min,3
BlurNoise_blur_kernel_size_max,16
pitch_min,0
pitch_max,90
yaw_min,0
yaw_max,90
roll_min,0
roll_max,90
scale_min,0.5
scale_max,1
